Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
BASEMENTAREA_MEDI,0,"(-inf, 0.00)",12347,0.05,11388,959,0.078,0.038,0.0,0.0,-0.389,4.955
BASEMENTAREA_MEDI,1,"[0.00, 0.05)",14054,0.057,12994,1060,0.075,0.07,0.0,0.0,-0.389,4.363
BASEMENTAREA_MEDI,2,"[0.05, 0.08)",30293,0.123,28138,2155,0.071,0.133,0.002,0.0,-0.389,3.186
BASEMENTAREA_MEDI,3,"[0.08, 0.13)",26381,0.107,24634,1747,0.066,0.21,0.004,0.001,-0.389,1.753
BASEMENTAREA_MEDI,4,"[0.13, inf)",19065,0.077,18004,1061,0.056,0.395,0.01,0.001,-0.389,-1.698
BASEMENTAREA_MEDI,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.389,5.667
BASEMENTAREA_MEDI,6,Missing,143868,0.585,131058,12810,0.089,-0.111,0.008,0.001,-0.389,7.732
YEARS_BEGINEXPLUATATION_MEDI,0,"(-inf, 0.97)",16483,0.067,15113,1370,0.083,-0.035,0.0,0.0,-1.016,7.393
YEARS_BEGINEXPLUATATION_MEDI,1,"[0.97, 0.98)",16222,0.066,14984,1238,0.076,0.057,0.0,0.0,-1.016,2.88
YEARS_BEGINEXPLUATATION_MEDI,2,"[0.98, 0.98)",24275,0.099,22548,1727,0.071,0.133,0.002,0.0,-1.016,-0.807
YEARS_BEGINEXPLUATATION_MEDI,3,"[0.98, 0.99)",37864,0.154,35295,2569,0.068,0.184,0.005,0.001,-1.016,-3.288
YEARS_BEGINEXPLUATATION_MEDI,4,"[0.99, 0.99)",17101,0.07,15973,1128,0.066,0.214,0.003,0.0,-1.016,-4.759
YEARS_BEGINEXPLUATATION_MEDI,5,"[0.99, inf)",14085,0.057,13353,732,0.052,0.468,0.01,0.001,-1.016,-17.084
YEARS_BEGINEXPLUATATION_MEDI,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-1.016,5.667
YEARS_BEGINEXPLUATATION_MEDI,7,Missing,119978,0.488,108950,11028,0.092,-0.146,0.011,0.001,-1.016,12.761
YEARS_BUILD_MEDI,0,"(-inf, 0.67)",16396,0.067,15093,1303,0.079,0.013,0.0,0.0,0.574,6.034
YEARS_BUILD_MEDI,1,"[0.67, 0.73)",14980,0.061,13945,1035,0.069,0.165,0.002,0.0,0.574,10.189
YEARS_BUILD_MEDI,2,"[0.73, 0.84)",34691,0.141,32334,2357,0.068,0.183,0.004,0.001,0.574,10.684
YEARS_BUILD_MEDI,3,"[0.84, inf)",16471,0.067,15539,932,0.057,0.378,0.008,0.001,0.574,16.045
YEARS_BUILD_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.574,5.667
YEARS_BUILD_MEDI,5,Missing,163470,0.664,149305,14165,0.087,-0.081,0.005,0.001,0.574,3.441
COMMONAREA_MEDI,0,"(-inf, 0.02)",33852,0.138,31348,2504,0.074,0.091,0.001,0.0,-0.11,5.187
COMMONAREA_MEDI,1,"[0.02, 0.06)",23688,0.096,22071,1617,0.068,0.177,0.003,0.0,-0.11,4.731
COMMONAREA_MEDI,2,"[0.06, inf)",16705,0.068,15732,973,0.058,0.347,0.007,0.001,-0.11,3.837
COMMONAREA_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.11,5.667
COMMONAREA_MEDI,4,Missing,171763,0.698,157065,14698,0.086,-0.067,0.003,0.0,-0.11,6.022
ELEVATORS_MEDI,0,"(-inf, 0.01)",69632,0.283,64317,5315,0.076,0.057,0.001,0.0,0.01,5.695
ELEVATORS_MEDI,1,"[0.01, 0.09)",13194,0.054,12357,837,0.063,0.256,0.003,0.0,0.01,5.793
ELEVATORS_MEDI,2,"[0.09, 0.21)",16436,0.067,15487,949,0.058,0.356,0.007,0.001,0.01,5.842
ELEVATORS_MEDI,3,"[0.21, inf)",15721,0.064,14934,787,0.05,0.507,0.013,0.002,0.01,5.917
ELEVATORS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.01,5.667
ELEVATORS_MEDI,5,Missing,131025,0.533,119121,11904,0.091,-0.133,0.01,0.001,0.01,5.602
ENTRANCES_MEDI,0,"(-inf, 0.08)",33004,0.134,30379,2625,0.08,0.012,0.0,0.0,-0.338,5.466
ENTRANCES_MEDI,1,"[0.08, 0.13)",18452,0.075,17127,1325,0.072,0.123,0.001,0.0,-0.338,3.676
ENTRANCES_MEDI,2,"[0.13, 0.15)",28418,0.116,26535,1883,0.066,0.209,0.005,0.001,-0.338,2.278
ENTRANCES_MEDI,3,"[0.15, 0.25)",28155,0.114,26427,1728,0.061,0.291,0.009,0.001,-0.338,0.953
ENTRANCES_MEDI,4,"[0.25, inf)",14114,0.057,13226,888,0.063,0.265,0.004,0.0,-0.338,1.382
ENTRANCES_MEDI,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.338,5.667
ENTRANCES_MEDI,6,Missing,123865,0.503,112522,11343,0.092,-0.142,0.011,0.001,-0.338,7.961
FLOORSMAX_MEDI,0,"(-inf, 0.16)",26046,0.106,23761,2285,0.088,-0.095,0.001,0.0,0.174,4.879
FLOORSMAX_MEDI,1,"[0.16, 0.20)",51088,0.208,47444,3644,0.071,0.13,0.003,0.0,0.174,6.754
FLOORSMAX_MEDI,2,"[0.20, 0.36)",30508,0.124,28666,1842,0.06,0.309,0.01,0.001,0.174,8.241
FLOORSMAX_MEDI,3,"[0.36, inf)",15978,0.065,15178,800,0.05,0.507,0.014,0.002,0.174,9.894
FLOORSMAX_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.174,5.667
FLOORSMAX_MEDI,5,Missing,122388,0.497,111167,11221,0.092,-0.143,0.011,0.001,0.174,4.475
FLOORSMIN_MEDI,0,"(-inf, 0.20)",26553,0.108,24500,2053,0.077,0.043,0.0,0.0,-0.813,3.985
